,movie,year,genre,cast
0,The Shawshank Redemption,1994,Drama,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, "
1,The Dark Knight,2008,"Action, Crime, Drama","Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine, "
2,Inception,2010,"Action, Adventure, Sci-Fi","Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Ken Watanabe, "
3,Fight Club,1999,Drama,"Brad Pitt, Edward Norton, Meat Loaf, Zach Grenier, "
4,Pulp Fiction,1994,"Crime, Drama","John Travolta, Uma Thurman, Samuel L. Jackson, Bruce Willis, "
5,Forrest Gump,1994,"Drama, Romance","Tom Hanks, Robin Wright, Gary Sinise, Sally Field, "
6,The Lord of the Rings: The Fellowship of the Ring,2001,"Adventure, Drama, Fantasy","Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean, "
7,The Matrix,1999,"Action, Sci-Fi","Lilly Wachowski, Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, "
8,The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama","Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom, "
9,The Godfather,1972,"Crime, Drama","Marlon Brando, Al Pacino, James Caan, Diane Keaton, "
10,The Dark Knight Rises,2012,"Action, Thriller","Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman, "
11,The Lord of the Rings: The Two Towers,2002,"Adventure, Drama, Fantasy","Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom, "
12,Se7en,1995,"Crime, Drama, Mystery","Morgan Freeman, Brad Pitt, Kevin Spacey, Andrew Kevin Walker, "
13,Interstellar,2014,"Adventure, Drama, Sci-Fi","Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy, "
14,Gladiator,2000,"Action, Adventure, Drama","Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed, "
15,Django Unchained,2012,"Drama, Western","Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, "
16,Batman Begins,2005,"Action, Adventure","Christian Bale, Michael Caine, Ken Watanabe, Liam Neeson, "
17,The Avengers,2012,"Action, Adventure, Sci-Fi","Robert Downey Jr., Chris Evans, Scarlett Johansson, Jeremy Renner, "
18,Star Wars,1977,"Action, Adventure, Fantasy","Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness, "
19,The Silence of the Lambs,1991,"Crime, Drama, Thriller","Jodie Foster, Anthony Hopkins, Lawrence A. Bonney, Kasi Lemmons, "
20,Inglourious Basterds,2009,"Adventure, Drama, War","Eli Roth, Brad Pitt, Diane Kruger, Eli Roth, "
21,Saving Private Ryan,1998,"Drama, War","Tom Hanks, Matt Damon, Tom Sizemore, Edward Burns, "
22,Schindler's List,1993,"Biography, Drama, History","Liam Neeson, Ralph Fiennes, Ben Kingsley, Caroline Goodall, "
